Geo_ID,Area Name,Area Type,Year,Variable,Value
37119,Mecklenburg County,County,1971,Traffic Accidents,12988
37119,Mecklenburg County,County,1987,Traffic Accident Fatalities,77
37119,Mecklenburg County,County,1987,Auto and Truck Registrations,357662
37119,Mecklenburg County,County,1986,Primary Highway Mileage,260.13
37119,Mecklenburg County,County,1986,Auto and Truck Registrations,348197
37119,Mecklenburg County,County,1997,Paved Highway Mileage,1006.72
37119,Mecklenburg County,County,1997,Primary Highway Mileage,273.92
37119,Mecklenburg County,County,1997,Persons Injured in Traffic Accidents,17635
37119,Mecklenburg County,County,1997,Auto and Truck Registrations,449918
37119,Mecklenburg County,County,1996,Auto and Truck Registrations,445588
37119,Mecklenburg County,County,2002,Unpaved Highway Mileage,21.65
37119,Mecklenburg County,County,2001,Persons Injured in Traffic Accidents,15729
37119,Mecklenburg County,County,2001,Traffic Accidents,27110
37119,Mecklenburg County,County,2018,Persons Injured in Traffic Accidents,12305
37119,Mecklenburg County,County,2018,Bicyclist Fatalities,4
37119,Mecklenburg County,County,2018,School Bus Accidents,203
37119,Mecklenburg County,County,2018,Paved Highway Mileage,970.91
37119,Mecklenburg County,County,2021,Pedestrians Injured,297
37119,Mecklenburg County,County,2022,Traffic Accidents,37177
37119,Mecklenburg County,County,2023,Alcohol Related Accidents,1026
37119,Mecklenburg County,County,2023,Pedestrians Injured,374
37119,Mecklenburg County,County,2024,Pedestrian Fatalities,40
37119,Mecklenburg County,County,2021,Accidents Caused by Exceeding Legal Speed,1584
37119,Mecklenburg County,County,2019,Traffic Accidents,40323
37119,Mecklenburg County,County,2020,Bicyclists Injured,79
37119,Mecklenburg County,County,2018,Alcohol Related Accidents,1056
37119,Mecklenburg County,County,2018,Pedestrian Fatalities,37
37119,Mecklenburg County,County,2017,Primary Highway Mileage,325.34
37119,Mecklenburg County,County,2024,Traffic Accident Fatalities,141
37119,Mecklenburg County,County,2024,Bicyclist Fatalities,4
37119,Mecklenburg County,County,2023,Motorcyclist Fatalities,10
37119,Mecklenburg County,County,2022,Persons Injured in Traffic Accidents,10428
37119,Mecklenburg County,County,2023,Accidents Caused by Exceeding Legal Speed,1711
37119,Mecklenburg County,County,2018,School Bus Average Mileage,17858
37119,Mecklenburg County,County,2015,Motorcyclists Injured,281
37119,Mecklenburg County,County,2016,Motorcyclist Fatalities,7
37119,Mecklenburg County,County,2016,Alcohol Related Accidents,1202
37119,Mecklenburg County,County,2017,Bicyclists Injured,125
37119,Mecklenburg County,County,2014,Bicyclist Fatalities,0
37119,Mecklenburg County,County,2014,Accidents Caused by Exceeding Legal Speed,1432
37119,Mecklenburg County,County,2014,Alcohol Related Accidents,1156
37119,Mecklenburg County,County,2017,Motorcyclist Fatalities,10
37119,Mecklenburg County,County,2013,Motorcyclist Fatalities,11
37119,Mecklenburg County,County,2011,Motorcyclists Injured,287
37119,Mecklenburg County,County,2006,Motorcyclists Injured,192
37119,Mecklenburg County,County,2007,Motorcyclists Injured,277
37119,Mecklenburg County,County,2007,Alcohol Related Accidents,1041
37119,Mecklenburg County,County,2010,Accidents Caused by Exceeding Legal Speed,1296
37119,Mecklenburg County,County,2009,School Bus Accidents,141
37119,Mecklenburg County,County,2008,Motorcyclists Injured,307
37119,Mecklenburg County,County,2005,Bicyclists Injured,53
37119,Mecklenburg County,County,2000,Accidents Caused by Exceeding Legal Speed,2350
37119,Mecklenburg County,County,1999,Accidents Caused by Exceeding Legal Speed,2248
37119,Mecklenburg County,County,2003,Motorcyclists Injured,163
