Geo_ID;Area Name;Area Type;Year;Variable;Value
37119;Mecklenburg County;County;2001;Traffic Accidents;27110.0
37119;Mecklenburg County;County;2018;Persons Injured in Traffic Accidents;12305.0
37119;Mecklenburg County;County;2018;Bicyclist Fatalities;4.0
37119;Mecklenburg County;County;2018;School Bus Accidents;203.0
37119;Mecklenburg County;County;2018;Paved Highway Mileage;970.91
37119;Mecklenburg County;County;2021;Pedestrians Injured;297.0
37119;Mecklenburg County;County;2022;Traffic Accidents;37177.0
37119;Mecklenburg County;County;2023;Alcohol Related Accidents;1026.0
37119;Mecklenburg County;County;2023;Pedestrians Injured;374.0
37119;Mecklenburg County;County;2024;Pedestrian Fatalities;40.0
37119;Mecklenburg County;County;2021;Accidents Caused by Exceeding Legal Speed;1584.0
37119;Mecklenburg County;County;2019;Traffic Accidents;40323.0
37119;Mecklenburg County;County;2020;Bicyclists Injured;79.0
37119;Mecklenburg County;County;2018;Alcohol Related Accidents;1056.0
37119;Mecklenburg County;County;2018;Pedestrian Fatalities;37.0
37119;Mecklenburg County;County;2017;Primary Highway Mileage;325.34
37119;Mecklenburg County;County;2024;Traffic Accident Fatalities;141.0
37119;Mecklenburg County;County;2024;Bicyclist Fatalities;4.0
37119;Mecklenburg County;County;2023;Motorcyclist Fatalities;10.0
37119;Mecklenburg County;County;2022;Persons Injured in Traffic Accidents;10428.0
37119;Mecklenburg County;County;2023;Accidents Caused by Exceeding Legal Speed;1711.0
37119;Mecklenburg County;County;2018;School Bus Average Mileage;17858.0
37119;Mecklenburg County;County;2015;Motorcyclists Injured;281.0
37119;Mecklenburg County;County;2016;Motorcyclist Fatalities;7.0
37119;Mecklenburg County;County;2016;Alcohol Related Accidents;1202.0
37119;Mecklenburg County;County;2017;Bicyclists Injured;125.0
37119;Mecklenburg County;County;2014;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;2014;Accidents Caused by Exceeding Legal Speed;1432.0
37119;Mecklenburg County;County;2014;Alcohol Related Accidents;1156.0
37119;Mecklenburg County;County;2017;Motorcyclist Fatalities;10.0
37119;Mecklenburg County;County;2013;Motorcyclist Fatalities;11.0
37119;Mecklenburg County;County;2011;Motorcyclists Injured;287.0
37119;Mecklenburg County;County;2006;Motorcyclists Injured;192.0
37119;Mecklenburg County;County;2007;Motorcyclists Injured;277.0
37119;Mecklenburg County;County;2007;Alcohol Related Accidents;1041.0
37119;Mecklenburg County;County;2010;Accidents Caused by Exceeding Legal Speed;1296.0
37119;Mecklenburg County;County;2009;School Bus Accidents;141.0
37119;Mecklenburg County;County;2008;Motorcyclists Injured;307.0
37119;Mecklenburg County;County;2005;Bicyclists Injured;53.0
37119;Mecklenburg County;County;2000;Accidents Caused by Exceeding Legal Speed;2350.0
37119;Mecklenburg County;County;1999;Accidents Caused by Exceeding Legal Speed;2248.0
37119;Mecklenburg County;County;2003;Motorcyclists Injured;163.0
37119;Mecklenburg County;County;2000;Motorcyclist Fatalities;11.0
37119;Mecklenburg County;County;1983;Accidents Caused by Exceeding Legal Speed;2177.0
37119;Mecklenburg County;County;1994;Bicyclists Injured;77.0
37119;Mecklenburg County;County;1981;Accidents Caused by Exceeding Legal Speed;1831.0
37119;Mecklenburg County;County;1980;Motorcyclists Injured;226.0
37119;Mecklenburg County;County;1992;Motorcyclist Fatalities;5.0
37119;Mecklenburg County;County;1991;Motorcyclist Fatalities;4.0
37119;Mecklenburg County;County;1989;School Bus Average Mileage;44187.0
